유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
프라푸치노,제주 말차 크림 프라푸치노,Tall,O,215.0,20.0,5.0,170.0,7.0,60.0,0
프라푸치노,제주 말차 크림 프라푸치노,Grande,O,305.0,29.0,7.0,250.0,10.0,90.0,0
프라푸치노,제주 말차 크림 프라푸치노,Venti,O,360.0,37.0,8.0,330.0,13.0,120.0,0
프라푸치노,자바 칩 프라푸치노,Tall,O,285.0,30.0,5.0,180.0,6.0,100.0,0
프라푸치노,자바 칩 프라푸치노,Grande,O,400.0,43.0,6.0,260.0,9.0,130.0,0
프라푸치노,자바 칩 프라푸치노,Venti,O,485.0,60.0,8.0,340.0,10.0,180.0,0
프라푸치노,초콜릿 크림 칩 프라푸치노,Tall,O,275.0,27.0,6.0,180.0,7.0,10.0,0
프라푸치노,초콜릿 크림 칩 프라푸치노,Grande,O,390.0,39.0,7.0,260.0,9.0,15.0,0
프라푸치노,초콜릿 크림 칩 프라푸치노,Venti,O,470.0,57.0,9.0,330.0,12.0,20.0,0
프라푸치노,카라멜 프라푸치노,Tall,O,225.0,24.0,3.0,180.0,8.0,85.0,0
프라푸치노,카라멜 프라푸치노,Grande,O,315.0,35.0,4.0,250.0,8.0,110.0,0
프라푸치노,카라멜 프라푸치노,Venti,O,365.0,37.0,4.0,320.0,9.0,155.0,0
프라푸치노,에스프레소 프라푸치노,Tall,O,110.0,17.0,2.0,150.0,1.1,120.0,0
프라푸치노,에스프레소 프라푸치노,Grande,O,155.0,25.0,3.0,220.0,1.5,155.0,0
프라푸치노,에스프레소 프라푸치노,Venti,O,200.0,32.0,3.0,290.0,1.9,195.0,0
블렌디드,딸기 딜라이트 요거트 블렌디드,Tall,O,275.0,36.0,9.0,105.0,3.9,0.0,0
블렌디드,딸기 딜라이트 요거트 블렌디드,Grande,O,390.0,50.0,12.0,150.0,6.0,0.0,0
블렌디드,딸기 딜라이트 요거트 블렌디드,Venti,O,490.0,68.0,15.0,180.0,7.0,0.0,0
블렌디드,망고 바나나 블렌디드,Grande,O,290.0,45.0,4.0,130.0,0.9,0.0,0
블렌디드,망고 패션 티 블렌디드,Tall,X,150.0,29.0,2.0,105.0,0.0,0.0,0
블렌디드,망고 패션 티 블렌디드,Grande,X,205.0,39.0,2.0,150.0,0.0,0.0,0
블렌디드,망고 패션 티 블렌디드,Venti,X,240.0,46.0,3.0,170.0,0.0,0.0,0
