유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg)
프라푸치노,제주 말차 크림 프라푸치노,Venti,O,360,37,8,330,13,120
프라푸치노,자바 칩 프라푸치노,Tall,O,285,30,5,180,6,100
프라푸치노,자바 칩 프라푸치노,Grande,O,400,43,6,260,9,130
프라푸치노,자바 칩 프라푸치노,Venti,O,485,60,8,340,10,180
프라푸치노,초콜릿 크림 칩 프라푸치노,Tall,O,275,27,6,180,7,10
프라푸치노,초콜릿 크림 칩 프라푸치노,Grande,O,390,39,7,260,9,15
프라푸치노,초콜릿 크림 칩 프라푸치노,Venti,O,470,57,9,330,12,20
프라푸치노,카라멜 프라푸치노,Tall,O,225,24,3,180,8,85
프라푸치노,카라멜 프라푸치노,Grande,O,315,35,4,250,8,110
프라푸치노,카라멜 프라푸치노,Venti,O,365,37,4,320,9,155
프라푸치노,에스프레소 프라푸치노,Tall,O,110,17,2,150,1.1,120
프라푸치노,에스프레소 프라푸치노,Grande,O,155,25,3,220,1.5,155
프라푸치노,에스프레소 프라푸치노,Venti,O,200,32,3,290,1.9,195
블렌디드,딸기 딜라이트 요거트 블렌디드,Tall,O,275,36,9,105,3.9,0
블렌디드,딸기 딜라이트 요거트 블렌디드,Grande,O,390,50,12,150,6,0
블렌디드,딸기 딜라이트 요거트 블렌디드,Venti,O,490,68,15,180,7,0
블렌디드,망고 바나나 블렌디드,Grande,O,290,45,4,130,0.9,0
블렌디드,망고 패션 티 블렌디드,Tall,X,150,29,2,105,0,0
블렌디드,망고 패션 티 블렌디드,Grande,X,205,39,2,150,0,0
블렌디드,망고 패션 티 블렌디드,Venti,X,240,46,3,170,0,0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Tall,X,105,24,1,0,0,30
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Grande,X,140,32,1,0,0,40
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Venti,X,170,39,1,0,0,50
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Trenta,X,265,62,1,0,0,73
스타벅스 피지오,쿨 라임 피지오,Tall,X,105,25,0,20,0,110
스타벅스 피지오,쿨 라임 피지오,Grande,X,130,32,0,25,0,135
스타벅스 피지오,쿨 라임 피지오,Venti,X,130,32,0,25,0,135
스타벅스 피지오,라이트 핑크 자몽 피지오,Tall,X,70,17,0,0,0,0
스타벅스 피지오,라이트 핑크 자몽 피지오,Grande,X,99,22,1,5,0,0
스타벅스 피지오,라이트 핑크 자몽 피지오,Venti,X,120,27,1,5,0,0
티(티바나),복숭아 아이스 티,Tall,X,110,15,0,35,0,30
티(티바나),복숭아 아이스 티,Grande,X,145,20,0,45,0,40
티(티바나),복숭아 아이스 티,Venti,X,175,24,0,50,0,50
티(티바나),복숭아 아이스 티,Trenta,X,255,34,1,75,0,70
티(티바나),복숭아 핫 티,Tall,X,160,21,0,50,0,70
티(티바나),복숭아 핫 티,Grande,X,215,28,1,65,0,70
티(티바나),복숭아 핫 티,Venti,X,260,34,1,80,0,70
티(티바나),레몬 캐모마일 블렌드 티,Tall,X,130,30,0,10,0,0
티(티바나),레몬 캐모마일 블렌드 티,Grande,X,175,42,0,10,0,0
티(티바나),아이스 레몬 캐모마일 블렌드 티,Tall,X,130,30,0,10,0,0
티(티바나),아이스 레몬 캐모마일 블렌드 티,Grande,X,175,42,0,10,0,0
티(티바나),스타벅스 클래식 밀크 티,Tall,O,299,31,5,80,13,190
티(티바나),스타벅스 클래식 밀크 티,Grande,O,410,43,6,105,18,230
티(티바나),스타벅스 클래식 밀크 티,Venti,O,505,53,8,130,22,270
